Trying to bind to IPC: /home/mininet/astraea_ipc/astraea454563
Successfull bind to IPC: /home/mininet/astraea_ipc/astraea454563
2025-05-27 16:55:55.387505: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2025-05-27 16:55:55.392314: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2899995000 Hz
2025-05-27 16:55:55.393038: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x5646862b09d0 executing computations on platform Host. Devices:
2025-05-27 16:55:55.393191: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
2025-05-27 16:55:55.486287: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
[2025-05-27 16:55:56,495 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1744188, 'avg_urtt': 30549, 'cnt': 18, 'cwnd': 39, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 39, 'max_tput': 1744188, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1843675, 'packets_out': 39, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 245041, 'thr_cnt': 18, 'time_delta': 29972}
[2025-05-27 16:55:56,525 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1802705, 'avg_urtt': 30527, 'cnt': 19, 'cwnd': 40, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 40, 'max_tput': 1802705, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1896855, 'packets_out': 40, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244278, 'thr_cnt': 19, 'time_delta': 30015}
[2025-05-27 16:55:56,555 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1846894, 'avg_urtt': 30509, 'cnt': 20, 'cwnd': 41, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 41, 'max_tput': 1846894, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1945726, 'packets_out': 41, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244096, 'thr_cnt': 20, 'time_delta': 30125}
[2025-05-27 16:55:56,586 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1882884, 'avg_urtt': 30524, 'cnt': 20, 'cwnd': 43, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 43, 'max_tput': 1882884, 'min_rtt': 30334, 'mss_cache': 1448, 'pacing_rate': 2040163, 'packets_out': 43, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244153, 'thr_cnt': 20, 'time_delta': 29914}
[2025-05-27 16:55:56,616 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1971868, 'avg_urtt': 30611, 'cnt': 22, 'cwnd': 45, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 45, 'max_tput': 1971868, 'min_rtt': 30334, 'mss_cache': 1448, 'pacing_rate': 2127395, 'packets_out': 43, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 245032, 'thr_cnt': 22, 'time_delta': 30056}
[2025-05-27 16:55:56,645 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 2066806, 'avg_urtt': 30571, 'cnt': 22, 'cwnd': 47, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 47, 'max_tput': 2066806, 'min_rtt': 30334, 'mss_cache': 1448, 'pacing_rate': 2225406, 'packets_out': 47, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244651, 'thr_cnt': 22, 'time_delta': 29924}
[2025-05-27 16:55:56,675 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 2153286, 'avg_urtt': 30554, 'cnt': 23, 'cwnd': 49, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 49, 'max_tput': 2153286, 'min_rtt': 30334, 'mss_cache': 1448, 'pacing_rate': 2321215, 'packets_out': 49, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244534, 'thr_cnt': 23, 'time_delta': 30020}
[2025-05-27 16:55:56,705 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 2251677, 'avg_urtt': 30603, 'cnt': 25, 'cwnd': 51, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 51, 'max_tput': 2251677, 'min_rtt': 30334, 'mss_cache': 1448, 'pacing_rate': 2411097, 'packets_out': 51, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 245027, 'thr_cnt': 25, 'time_delta': 29986}
[2025-05-27 16:55:56,736 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 2343249, 'avg_urtt': 30587, 'cnt': 25, 'cwnd': 53, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 53, 'max_tput': 2343249, 'min_rtt': 30334, 'mss_cache': 1448, 'pacing_rate': 2508178, 'packets_out': 52, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244780, 'thr_cnt': 25, 'time_delta': 30040}
[2025-05-27 16:55:56,766 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 2437238, 'avg_urtt': 30531, 'cnt': 26, 'cwnd': 55, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 55, 'max_tput': 2437238, 'min_rtt': 30334, 'mss_cache': 1448, 'pacing_rate': 2607588, 'packets_out': 55, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244333, 'thr_cnt': 26, 'time_delta': 29950}
[2025-05-27 16:55:56,795 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 2504644, 'avg_urtt': 30538, 'cnt': 27, 'cwnd': 57, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 57, 'max_tput': 2504644, 'min_rtt': 30334, 'mss_cache': 1448, 'pacing_rate': 2700266, 'packets_out': 57, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244527, 'thr_cnt': 27, 'time_delta': 30016}
[2025-05-27 16:55:56,826 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 2633501, 'avg_urtt': 30538, 'cnt': 28, 'cwnd': 59, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 59, 'max_tput': 2633501, 'min_rtt': 30334, 'mss_cache': 1448, 'pacing_rate': 2796853, 'packets_out': 59, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244366, 'thr_cnt': 28, 'time_delta': 29993}
